Timestamp,ApplicationName,ErrorType,ErrorMessage,SeverityLevel
2026-05-18 08:16:15,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-30 00:49:22,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-22 20:33:31,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-16 18:52:15,PaymentGateway,NullPointerException,Attempted to access a null object reference.,High
2026-05-26 19:36:01,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-26 22:40:14,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-29 11:46:55,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Critical
2026-05-30 18:59:50,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-06-05 01:08:15,PaymentGateway,NullPointerException,Attempted to access a null object reference.,Low
2026-05-30 22:16:39,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-02 03:29:20,PaymentGateway,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-22 08:12:13,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-04 06:53:55,UserDashboard,NullPointerException,Attempted to access a null object reference.,Medium
2026-06-03 09:24:40,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,High
2026-05-21 23:50:36,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-12 09:11:32,PaymentGateway,NullPointerException,Attempted to access a null object reference.,High
2026-05-19 19:21:20,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-26 15:37:25,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-13 13:04:06,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-13 16:15:15,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-10 10:56:50,AuthService,NullPointerException,Attempted to access a null object reference.,Low
2026-05-10 10:22:44,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-06-08 10:19:13,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-23 19:28:11,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-24 11:19:36,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-02 03:45:53,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-29 03:22:34,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-16 17:25:21,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-23 08:17:56,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-05 17:11:27,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-20 04:37:14,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-01 05:47:05,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-15 00:35:15,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-27 18:17:45,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,High
2026-05-22 01:08:23,UserDashboard,NullPointerException,Attempted to access a null object reference.,Low
2026-05-16 17:43:30,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-25 11:25:37,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-12 03:20:45,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,Low
2026-05-28 19:36:31,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-27 17:53:58,PaymentGateway,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-24 23:03:23,InventoryManager,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-25 06:56:36,UserDashboard,NullPointerException,Attempted to access a null object reference.,Low
2026-05-24 22:43:02,UserDashboard,NullPointerException,Attempted to access a null object reference.,Low
2026-05-11 15:13:18,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-06-07 02:06:29,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-11 21:17:35,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-15 18:38:58,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-26 18:54:15,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-19 15:28:04,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-12 23:30:02,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-14 15:16:44,UserDashboard,NullPointerException,Attempted to access a null object reference.,Low
2026-06-01 19:41:33,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-14 23:16:35,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-25 05:07:39,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Low
2026-05-28 07:04:35,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-18 09:58:43,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-12 04:01:43,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-18 04:46:24,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-11 12:00:20,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-06-06 19:24:19,UserDashboard,NullPointerException,Attempted to access a null object reference.,High
2026-05-31 07:29:56,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-29 19:50:38,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-13 04:34:14,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-05 08:08:39,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-10 09:14:17,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-12 22:50:35,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-01 14:20:59,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-27 05:25:59,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-11 11:26:20,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-26 17:59:48,PaymentGateway,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-12 12:51:43,UserDashboard,NullPointerException,Attempted to access a null object reference.,Low
2026-05-14 11:34:59,AuthService,NullPointerException,Attempted to access a null object reference.,Low
2026-06-05 07:30:22,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-07 21:58:32,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-25 17:59:34,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-09 15:02:06,InventoryManager,NullPointerException,Attempted to access a null object reference.,Critical
2026-06-06 23:20:13,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-10 05:47:48,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-06-01 03:58:55,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-08 02:41:34,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-02 00:19:17,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-21 14:15:37,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-23 13:12:01,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-19 12:05:00,UserDashboard,NullPointerException,Attempted to access a null object reference.,Critical
2026-06-02 05:26:04,UserDashboard,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-20 02:38:59,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-25 19:24:19,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-30 16:34:22,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-31 05:34:40,PaymentGateway,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-13 12:18:41,UserDashboard,NullPointerException,Attempted to access a null object reference.,Critical
2026-06-05 11:01:17,InventoryManager,NullPointerException,Attempted to access a null object reference.,High
2026-05-31 08:29:04,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-04 02:44:17,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,High
2026-05-13 18:34:53,AuthService,NullPointerException,Attempted to access a null object reference.,High
2026-05-14 02:27:56,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,High
2026-06-04 14:22:39,InventoryManager,OutOfMemoryError,Java heap space out of memory.,High
2026-06-03 00:49:54,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-11 06:13:04,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Critical
2026-05-12 00:34:38,UserDashboard,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-20 21:49:10,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-18 13:16:09,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-20 13:35:34,InventoryManager,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-19 14:36:50,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-21 00:10:49,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-06-02 06:39:23,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-07 09:27:00,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-19 14:27:31,PaymentGateway,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-27 00:59:57,OrderProcessing,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-31 00:40:06,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-24 22:25:07,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-30 12:44:58,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-17 07:19:44,PaymentGateway,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-19 17:21:12,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-11 10:38:36,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-05 17:08:57,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-06-07 10:03:07,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-20 05:57:15,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-30 02:40:03,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-14 17:55:47,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-12 01:59:18,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-02 21:15:27,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-15 18:49:33,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-19 09:40:14,OrderProcessing,AuthenticationFailure,Invalid credentials provided for user login.,Low
2026-05-10 06:49:04,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-03 22:41:58,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-05 13:54:31,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-25 18:19:36,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-22 08:19:09,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-06-05 17:36:40,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-16 20:47:34,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-20 18:51:33,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-16 20:04:11,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-28 15:06:57,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-16 07:54:36,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-18 03:21:28,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-06-04 06:14:21,AuthService,NullPointerException,Attempted to access a null object reference.,High
2026-06-06 20:57:20,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-09 20:58:12,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-27 13:04:36,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-13 16:12:08,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-06-06 06:19:07,UserDashboard,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-29 21:45:28,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-02 16:36:30,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-27 22:18:09,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-19 12:58:14,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-27 20:44:40,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-02 01:55:16,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,High
2026-05-15 22:53:57,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-30 02:31:40,OrderProcessing,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-23 12:48:32,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-06-08 10:58:43,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-21 03:56:26,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-16 06:54:23,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-27 03:16:27,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-27 12:48:59,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-27 15:21:29,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-05 01:13:49,OrderProcessing,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-06-06 17:37:05,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,Low
2026-05-24 07:31:04,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-06-04 11:24:03,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,High
2026-05-17 08:31:25,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-02 17:04:58,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-05 12:02:21,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Medium
2026-06-08 06:19:57,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-02 05:17:40,OrderProcessing,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-17 10:55:06,InventoryManager,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-13 12:29:11,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Low
2026-05-09 19:12:02,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-15 15:33:49,UserDashboard,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-28 17:32:09,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-26 19:02:36,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-27 11:27:28,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-21 11:13:34,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-19 14:15:14,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Critical
2026-06-07 01:12:04,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-24 05:40:15,InventoryManager,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-11 00:31:52,PaymentGateway,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-28 07:58:28,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-10 11:05:32,AuthService,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-06-07 09:38:06,InventoryManager,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-06-01 12:06:27,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-29 11:53:58,AuthService,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-06-01 21:47:03,UserDashboard,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-30 19:14:16,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-06-03 22:00:08,OrderProcessing,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-05-23 04:57:40,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-29 07:29:01,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,High
2026-05-09 20:34:14,UserDashboard,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-05 17:08:39,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-28 12:42:20,PaymentGateway,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-31 00:27:48,PaymentGateway,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-09 19:50:52,OrderProcessing,NullPointerException,Attempted to access a null object reference.,Critical
2026-05-31 22:53:29,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-08 05:29:57,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,Medium
2026-06-02 19:54:53,InventoryManager,ConnectionTimeout,Failed to connect to the upstream service within the allowed time.,Medium
2026-05-16 09:21:53,AuthService,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-10 16:09:36,UserDashboard,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-31 19:34:24,UserDashboard,AuthenticationFailure,Invalid credentials provided for user login.,High
2026-05-22 06:30:14,PaymentGateway,OutOfMemoryError,Java heap space out of memory.,High
2026-05-14 20:16:00,OrderProcessing,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,Critical
2026-05-20 06:48:03,OrderProcessing,OutOfMemoryError,Java heap space out of memory.,Critical
2026-05-17 05:06:09,UserDashboard,OutOfMemoryError,Java heap space out of memory.,Critical
2026-06-06 21:08:58,AuthService,DatabaseDeadlock,Deadlock found when trying to get lock; try restarting transaction.,High
2026-05-18 20:51:13,UserDashboard,NullPointerException,Attempted to access a null object reference.,Medium
2026-05-29 17:14:32,PaymentGateway,AuthenticationFailure,Invalid credentials provided for user login.,High
